
running 1 test
Testing lock-free map
Insert heavy
25165824 operations across 1 thread(s) in 41.2622482s; time/op = 1.639µs
test main ... test main has been running for over 60 seconds
25165824 operations across 2 thread(s) in 23.86646083s; time/op = 947ns
25165824 operations across 3 thread(s) in 16.247412525s; time/op = 644ns
25165824 operations across 4 thread(s) in 12.542649714s; time/op = 497ns
25165824 operations across 5 thread(s) in 10.446366315s; time/op = 414ns
25165824 operations across 6 thread(s) in 8.815736005s; time/op = 349ns
25165824 operations across 7 thread(s) in 7.439947018s; time/op = 295ns
25165824 operations across 8 thread(s) in 6.899794987s; time/op = 273ns
25165824 operations across 9 thread(s) in 6.432294165s; time/op = 255ns
25165824 operations across 10 thread(s) in 6.001677219s; time/op = 238ns
25165824 operations across 11 thread(s) in 5.633520324s; time/op = 223ns
25165824 operations across 12 thread(s) in 5.377016089s; time/op = 212ns
25165824 operations across 13 thread(s) in 5.032746076s; time/op = 199ns
25165824 operations across 14 thread(s) in 6.309041016s; time/op = 250ns
25165824 operations across 15 thread(s) in 4.869565464s; time/op = 192ns
25165824 operations across 16 thread(s) in 6.230322372s; time/op = 247ns
25165824 operations across 17 thread(s) in 4.488348516s; time/op = 177ns
25165824 operations across 18 thread(s) in 4.397434737s; time/op = 173ns
25165824 operations across 19 thread(s) in 4.147353427s; time/op = 163ns
25165824 operations across 20 thread(s) in 3.940942822s; time/op = 156ns
25165824 operations across 21 thread(s) in 3.924452994s; time/op = 155ns
25165824 operations across 22 thread(s) in 3.761403111s; time/op = 149ns
25165824 operations across 23 thread(s) in 3.629458467s; time/op = 144ns
25165824 operations across 24 thread(s) in 3.729708235s; time/op = 147ns
25165824 operations across 25 thread(s) in 3.529866621s; time/op = 140ns
25165824 operations across 26 thread(s) in 3.44762593s; time/op = 136ns
25165824 operations across 27 thread(s) in 3.38829229s; time/op = 134ns
25165824 operations across 28 thread(s) in 3.379610575s; time/op = 134ns
25165824 operations across 29 thread(s) in 3.338645324s; time/op = 132ns
25165824 operations across 30 thread(s) in 3.231012254s; time/op = 128ns
25165824 operations across 31 thread(s) in 3.198210416s; time/op = 126ns
25165824 operations across 32 thread(s) in 3.155262607s; time/op = 125ns
25165824 operations across 33 thread(s) in 3.107492629s; time/op = 123ns
25165824 operations across 34 thread(s) in 3.0235018s; time/op = 119ns
25165824 operations across 35 thread(s) in 3.043761915s; time/op = 120ns
25165824 operations across 36 thread(s) in 3.016085127s; time/op = 119ns
25165824 operations across 37 thread(s) in 2.947212631s; time/op = 116ns
25165824 operations across 38 thread(s) in 2.903620523s; time/op = 114ns
25165824 operations across 39 thread(s) in 2.864049146s; time/op = 113ns
25165824 operations across 40 thread(s) in 2.839100577s; time/op = 112ns
25165824 operations across 41 thread(s) in 2.752216007s; time/op = 108ns
25165824 operations across 42 thread(s) in 2.797977516s; time/op = 110ns
25165824 operations across 43 thread(s) in 2.862293085s; time/op = 113ns
25165824 operations across 44 thread(s) in 2.678958671s; time/op = 105ns
25165824 operations across 45 thread(s) in 2.642994675s; time/op = 104ns
25165824 operations across 46 thread(s) in 2.60417558s; time/op = 103ns
25165824 operations across 47 thread(s) in 2.588154139s; time/op = 102ns
25165824 operations across 48 thread(s) in 2.546328199s; time/op = 100ns
25165824 operations across 49 thread(s) in 2.553943548s; time/op = 101ns
25165824 operations across 50 thread(s) in 2.468814508s; time/op = 97ns
25165824 operations across 51 thread(s) in 2.533690155s; time/op = 100ns
25165824 operations across 52 thread(s) in 2.553692583s; time/op = 101ns
25165824 operations across 53 thread(s) in 2.45325585s; time/op = 97ns
25165824 operations across 54 thread(s) in 2.393101568s; time/op = 94ns
25165824 operations across 55 thread(s) in 2.403669378s; time/op = 95ns
25165824 operations across 56 thread(s) in 2.444531535s; time/op = 96ns
25165824 operations across 57 thread(s) in 2.354514142s; time/op = 93ns
25165824 operations across 58 thread(s) in 2.374513914s; time/op = 93ns
25165824 operations across 59 thread(s) in 2.346782424s; time/op = 92ns
25165824 operations across 60 thread(s) in 2.286347521s; time/op = 90ns
25165824 operations across 61 thread(s) in 2.236991455s; time/op = 88ns
25165824 operations across 62 thread(s) in 2.252978671s; time/op = 89ns
25165824 operations across 63 thread(s) in 2.790627714s; time/op = 110ns
25165824 operations across 64 thread(s) in 2.245222687s; time/op = 88ns
25165824 operations across 65 thread(s) in 2.35811061s; time/op = 93ns
25165824 operations across 66 thread(s) in 2.252361744s; time/op = 89ns
25165824 operations across 67 thread(s) in 2.178895203s; time/op = 86ns
25165824 operations across 68 thread(s) in 2.176462515s; time/op = 86ns
25165824 operations across 69 thread(s) in 2.305578899s; time/op = 91ns
