Testing CHashmap
Insert heavy
25165824 operations across 1 thread(s) in 6.35389532s; time/op = 252ns
25165824 operations across 2 thread(s) in 4.424230797s; time/op = 174ns
25165824 operations across 3 thread(s) in 4.060008963s; time/op = 160ns
25165824 operations across 4 thread(s) in 3.830428092s; time/op = 151ns
25165824 operations across 5 thread(s) in 3.959214613s; time/op = 157ns
25165824 operations across 6 thread(s) in 4.703652693s; time/op = 185ns
25165824 operations across 7 thread(s) in 3.728048934s; time/op = 147ns
25165824 operations across 8 thread(s) in 3.349674917s; time/op = 132ns
25165824 operations across 9 thread(s) in 2.953988064s; time/op = 116ns
25165824 operations across 10 thread(s) in 3.801272658s; time/op = 150ns
25165824 operations across 11 thread(s) in 3.588291635s; time/op = 142ns
25165824 operations across 12 thread(s) in 3.649737964s; time/op = 144ns
25165824 operations across 13 thread(s) in 3.519759706s; time/op = 139ns
25165824 operations across 14 thread(s) in 3.882219389s; time/op = 154ns
25165824 operations across 15 thread(s) in 3.913973945s; time/op = 155ns
25165824 operations across 16 thread(s) in 4.528334301s; time/op = 178ns
25165824 operations across 17 thread(s) in 3.628151324s; time/op = 143ns
25165824 operations across 18 thread(s) in 3.837310399s; time/op = 152ns
25165824 operations across 19 thread(s) in 4.403922766s; time/op = 174ns
25165824 operations across 20 thread(s) in 4.040020013s; time/op = 159ns
25165824 operations across 21 thread(s) in 4.274645302s; time/op = 168ns
25165824 operations across 22 thread(s) in 3.690001548s; time/op = 146ns
25165824 operations across 23 thread(s) in 3.420570411s; time/op = 135ns
25165824 operations across 24 thread(s) in 5.734468021s; time/op = 227ns
25165824 operations across 25 thread(s) in 4.434198779s; time/op = 175ns
25165824 operations across 26 thread(s) in 3.804892763s; time/op = 150ns
25165824 operations across 27 thread(s) in 3.849136936s; time/op = 152ns
25165824 operations across 28 thread(s) in 5.62303541s; time/op = 222ns
25165824 operations across 29 thread(s) in 4.301640891s; time/op = 169ns
25165824 operations across 30 thread(s) in 3.812490789s; time/op = 151ns
25165824 operations across 31 thread(s) in 3.5234267s; time/op = 139ns
25165824 operations across 32 thread(s) in 3.837906108s; time/op = 152ns
25165824 operations across 33 thread(s) in 3.502295256s; time/op = 138ns
25165824 operations across 34 thread(s) in 3.915013266s; time/op = 155ns
25165824 operations across 35 thread(s) in 5.371947389s; time/op = 212ns
25165824 operations across 36 thread(s) in 3.926093036s; time/op = 155ns
25165824 operations across 37 thread(s) in 3.480471497s; time/op = 138ns
25165824 operations across 38 thread(s) in 3.53896734s; time/op = 140ns
25165824 operations across 39 thread(s) in 3.848331369s; time/op = 152ns
25165824 operations across 40 thread(s) in 3.827935279s; time/op = 151ns
25165824 operations across 41 thread(s) in 5.365321329s; time/op = 212ns
25165824 operations across 42 thread(s) in 3.956542134s; time/op = 157ns
25165824 operations across 43 thread(s) in 3.949603648s; time/op = 156ns
25165824 operations across 44 thread(s) in 3.890986828s; time/op = 154ns
25165824 operations across 45 thread(s) in 3.766534883s; time/op = 149ns
25165824 operations across 46 thread(s) in 3.979591482s; time/op = 157ns
25165824 operations across 47 thread(s) in 4.015245272s; time/op = 158ns
25165824 operations across 48 thread(s) in 3.43788985s; time/op = 136ns
25165824 operations across 49 thread(s) in 3.526889568s; time/op = 139ns
25165824 operations across 50 thread(s) in 3.250038814s; time/op = 128ns
