Testing lock-free map
Insert heavy
25165824 operations across 1 thread(s) in 5.429420667s; time/op = 215ns
25165824 operations across 2 thread(s) in 3.87817801s; time/op = 153ns
25165824 operations across 3 thread(s) in 3.441069329s; time/op = 136ns
25165824 operations across 4 thread(s) in 2.974786794s; time/op = 117ns
25165824 operations across 5 thread(s) in 3.103164487s; time/op = 123ns
25165824 operations across 6 thread(s) in 3.299924781s; time/op = 130ns
25165824 operations across 7 thread(s) in 2.641287975s; time/op = 104ns
25165824 operations across 8 thread(s) in 2.653951665s; time/op = 104ns
25165824 operations across 9 thread(s) in 2.915444867s; time/op = 115ns
25165824 operations across 10 thread(s) in 2.595107839s; time/op = 102ns
25165824 operations across 11 thread(s) in 2.902104373s; time/op = 114ns
25165824 operations across 12 thread(s) in 2.847809675s; time/op = 112ns
25165824 operations across 13 thread(s) in 2.92052044s; time/op = 115ns
25165824 operations across 14 thread(s) in 2.5246017s; time/op = 99ns
25165824 operations across 15 thread(s) in 2.114875796s; time/op = 83ns
25165824 operations across 16 thread(s) in 2.918944534s; time/op = 115ns
25165824 operations across 17 thread(s) in 2.721645325s; time/op = 107ns
25165824 operations across 18 thread(s) in 2.605830271s; time/op = 103ns
25165824 operations across 19 thread(s) in 2.463926602s; time/op = 97ns
25165824 operations across 20 thread(s) in 2.380325066s; time/op = 94ns
25165824 operations across 21 thread(s) in 2.27510681s; time/op = 89ns
25165824 operations across 22 thread(s) in 2.169565187s; time/op = 85ns
25165824 operations across 23 thread(s) in 2.100079363s; time/op = 82ns
25165824 operations across 24 thread(s) in 2.136769751s; time/op = 84ns
25165824 operations across 25 thread(s) in 2.048163932s; time/op = 80ns
25165824 operations across 26 thread(s) in 1.7619084s; time/op = 69ns
25165824 operations across 27 thread(s) in 1.898998175s; time/op = 74ns
25165824 operations across 28 thread(s) in 1.765461052s; time/op = 69ns
25165824 operations across 29 thread(s) in 1.588193375s; time/op = 62ns
25165824 operations across 30 thread(s) in 1.864023753s; time/op = 73ns
25165824 operations across 31 thread(s) in 1.694586351s; time/op = 66ns
25165824 operations across 32 thread(s) in 1.60343278s; time/op = 62ns
25165824 operations across 33 thread(s) in 1.685948665s; time/op = 66ns
25165824 operations across 34 thread(s) in 1.751681371s; time/op = 68ns
25165824 operations across 35 thread(s) in 1.499204671s; time/op = 58ns
25165824 operations across 36 thread(s) in 1.603112084s; time/op = 62ns
25165824 operations across 37 thread(s) in 1.690712987s; time/op = 66ns
25165824 operations across 38 thread(s) in 1.540076369s; time/op = 60ns
25165824 operations across 39 thread(s) in 1.449477258s; time/op = 56ns
25165824 operations across 40 thread(s) in 1.549438836s; time/op = 60ns
25165824 operations across 41 thread(s) in 1.585562408s; time/op = 62ns
25165824 operations across 42 thread(s) in 1.512760605s; time/op = 59ns
25165824 operations across 43 thread(s) in 1.364677143s; time/op = 53ns
25165824 operations across 44 thread(s) in 1.489946752s; time/op = 58ns
25165824 operations across 45 thread(s) in 1.440067565s; time/op = 56ns
25165824 operations across 46 thread(s) in 1.441813476s; time/op = 56ns
25165824 operations across 47 thread(s) in 1.442590652s; time/op = 56ns
25165824 operations across 48 thread(s) in 1.491436475s; time/op = 58ns
25165824 operations across 49 thread(s) in 1.410879334s; time/op = 55ns
25165824 operations across 50 thread(s) in 1.40076223s; time/op = 54ns
25165824 operations across 51 thread(s) in 1.193959754s; time/op = 46ns
25165824 operations across 52 thread(s) in 1.233002941s; time/op = 48ns
25165824 operations across 53 thread(s) in 1.182555462s; time/op = 46ns
25165824 operations across 54 thread(s) in 1.293443122s; time/op = 50ns
25165824 operations across 55 thread(s) in 1.315184159s; time/op = 51ns
25165824 operations across 56 thread(s) in 1.275358561s; time/op = 49ns
25165824 operations across 57 thread(s) in 1.311708471s; time/op = 51ns
25165824 operations across 58 thread(s) in 1.177579723s; time/op = 46ns
25165824 operations across 59 thread(s) in 1.172161153s; time/op = 45ns
25165824 operations across 60 thread(s) in 1.174529119s; time/op = 45ns
25165824 operations across 61 thread(s) in 1.256916574s; time/op = 49ns
25165824 operations across 62 thread(s) in 1.178505921s; time/op = 46ns
25165824 operations across 63 thread(s) in 1.197560522s; time/op = 46ns
25165824 operations across 64 thread(s) in 1.121726463s; time/op = 43ns
25165824 operations across 65 thread(s) in 2.687788252s; time/op = 106ns
25165824 operations across 66 thread(s) in 1.309338361s; time/op = 51ns
25165824 operations across 67 thread(s) in 1.362843319s; time/op = 53ns
25165824 operations across 68 thread(s) in 1.232928284s; time/op = 48ns
25165824 operations across 69 thread(s) in 1.236268949s; time/op = 48ns
25165824 operations across 70 thread(s) in 1.168395753s; time/op = 45ns
25165824 operations across 71 thread(s) in 1.263513871s; time/op = 49ns
25165824 operations across 72 thread(s) in 1.023068757s; time/op = 39ns
25165824 operations across 73 thread(s) in 1.170462267s; time/op = 45ns
25165824 operations across 74 thread(s) in 1.168886332s; time/op = 45ns
25165824 operations across 75 thread(s) in 1.054385667s; time/op = 41ns
25165824 operations across 76 thread(s) in 1.174356834s; time/op = 45ns
25165824 operations across 77 thread(s) in 1.164414889s; time/op = 45ns
25165824 operations across 78 thread(s) in 1.148292771s; time/op = 44ns
25165824 operations across 79 thread(s) in 1.080978098s; time/op = 42ns
25165824 operations across 80 thread(s) in 1.269706123s; time/op = 49ns
25165824 operations across 81 thread(s) in 1.008479445s; time/op = 39ns
25165824 operations across 82 thread(s) in 1.050827256s; time/op = 41ns
25165824 operations across 83 thread(s) in 1.124758812s; time/op = 43ns
25165824 operations across 84 thread(s) in 1.034191804s; time/op = 40ns
25165824 operations across 85 thread(s) in 1.074686135s; time/op = 41ns
25165824 operations across 86 thread(s) in 1.122547844s; time/op = 43ns
25165824 operations across 87 thread(s) in 1.063788676s; time/op = 41ns
25165824 operations across 88 thread(s) in 1.012367791s; time/op = 39ns
25165824 operations across 89 thread(s) in 1.070837601s; time/op = 41ns
25165824 operations across 90 thread(s) in 1.070406726s; time/op = 41ns
25165824 operations across 91 thread(s) in 1.06083305s; time/op = 41ns
25165824 operations across 92 thread(s) in 1.021714441s; time/op = 39ns
25165824 operations across 93 thread(s) in 1.019623903s; time/op = 39ns
25165824 operations across 94 thread(s) in 1.031975933s; time/op = 40ns
25165824 operations across 95 thread(s) in 1.051688492s; time/op = 41ns
25165824 operations across 96 thread(s) in 1.027734027s; time/op = 40ns
25165824 operations across 97 thread(s) in 1.069447749s; time/op = 41ns
25165824 operations across 98 thread(s) in 1.000506929s; time/op = 39ns
25165824 operations across 99 thread(s) in 1.003890322s; time/op = 39ns
25165824 operations across 100 thread(s) in 986.880291ms; time/op = 39ns
25165824 operations across 101 thread(s) in 1.055673523s; time/op = 41ns
25165824 operations across 102 thread(s) in 1.031390498s; time/op = 40ns
25165824 operations across 103 thread(s) in 1.047110092s; time/op = 40ns
25165824 operations across 104 thread(s) in 1.000485713s; time/op = 39ns
25165824 operations across 105 thread(s) in 1.050858688s; time/op = 41ns
25165824 operations across 106 thread(s) in 1.039566259s; time/op = 40ns
25165824 operations across 107 thread(s) in 1.055343371s; time/op = 41ns
25165824 operations across 108 thread(s) in 998.54797ms; time/op = 39ns
25165824 operations across 109 thread(s) in 1.076733278s; time/op = 42ns
25165824 operations across 110 thread(s) in 993.77401ms; time/op = 39ns
25165824 operations across 111 thread(s) in 1.002951437s; time/op = 39ns
25165824 operations across 112 thread(s) in 1.010759879s; time/op = 39ns
25165824 operations across 113 thread(s) in 1.029853277s; time/op = 40ns
